Moscow,-57
New Orleans,150
Rio de Janeiro,263
Oslo,-13
Hong Kong,180
Warsaw,-7
Seoul,-7
Sydney,227
Canberra,200
New York,27
Moscow,123
New Orleans,240
Rio de Janeiro,233
Oslo,110
Hong Kong,260
Warsaw,127
Seoul,163
Sydney,163
Canberra,97
New York,163
Moscow,160
New Orleans,277
Rio de Janeiro,217
Oslo,153
Hong Kong,283
Warsaw,167
Seoul,223
Sydney,143
Canberra,77
New York,230
Moscow,-3
New Orleans,177
Rio de Janeiro,240
Oslo,20
Hong Kong,217
Warsaw,37
Seoul,53
Sydney,200
Canberra,163
New York,107
